datetime,水位(m),流量(m3/s),含沙量(kg/m3)
2016-01-01 00:00:00,42.79,357,0.825
2016-01-01 04:00:00,42.8,363,
2016-01-01 08:00:00,42.8,363,0.796
2016-01-01 12:00:00,42.81,368,
2016-01-01 14:00:00,42.84,384,
2016-01-01 16:00:00,42.8,363,
2016-01-01 20:00:00,42.77,346,
2016-01-02 00:00:00,42.78,351,
2016-01-02 04:00:00,42.77,346,
2016-01-02 08:00:00,42.78,351,0.84
2016-01-02 10:00:00,42.81,368,
2016-01-02 12:00:00,42.79,357,
2016-01-02 16:00:00,42.79,357,
2016-01-02 20:00:00,42.71,309,
2016-01-03 00:00:00,42.7,304,
2016-01-03 04:00:00,42.72,315,
2016-01-03 08:00:00,42.76,340,0.672
2016-01-03 12:00:00,42.79,357,
2016-01-03 16:00:00,42.78,351,
2016-01-03 20:00:00,42.73,321,
2016-01-04 00:00:00,42.75,334,
2016-01-04 04:00:00,42.72,315,
2016-01-04 08:00:00,42.7,304,0.651
2016-01-04 12:00:00,42.74,329,
2016-01-04 16:00:00,42.72,315,
2016-01-04 20:00:00,42.72,315,
2016-01-04 22:00:00,42.68,293,
2016-01-05 00:00:00,42.72,315,
2016-01-05 04:00:00,42.74,329,
2016-01-05 08:00:00,42.73,321,0.693
2016-01-05 12:00:00,42.75,334,
2016-01-05 16:00:00,42.73,321,
2016-01-05 18:00:00,42.76,340,
2016-01-05 20:00:00,42.76,340,
2016-01-06 00:00:00,42.78,351,
2016-01-06 04:00:00,42.75,334,
2016-01-06 08:00:00,42.77,346,0.734
2016-01-06 12:00:00,42.77,346,
2016-01-06 15:00:00,42.79,383,
2016-01-06 16:00:00,42.77,373,
2016-01-06 20:00:00,42.78,378,
2016-01-07 00:00:00,42.79,383,
2016-01-07 04:00:00,42.78,378,
2016-01-07 08:00:00,42.78,378,0.711
2016-01-07 12:00:00,42.79,383,
2016-01-07 16:00:00,42.79,383,
2016-01-07 18:00:00,42.81,392,
2016-01-07 20:00:00,42.77,373,
2016-01-08 00:00:00,42.78,378,
2016-01-08 04:00:00,42.78,378,
2016-01-08 06:00:00,42.77,373,
2016-01-08 08:00:00,42.79,383,0.92
2016-01-08 10:00:00,42.84,407,
2016-01-08 12:00:00,42.81,392,
2016-01-08 16:00:00,42.84,407,
2016-01-08 20:00:00,42.82,397,
2016-01-09 00:00:00,42.83,402,
2016-01-09 04:00:00,42.81,392,
2016-01-09 08:00:00,42.81,392,0.952
2016-01-09 12:00:00,42.81,392,
2016-01-09 16:00:00,42.82,397,
2016-01-09 20:00:00,42.8,388,
2016-01-09 22:00:00,42.79,383,
2016-01-10 00:00:00,42.78,378,
2016-01-10 02:00:00,42.8,388,
2016-01-10 04:00:00,42.8,388,
2016-01-10 08:00:00,42.78,378,0.959
2016-01-10 12:00:00,42.77,373,
2016-01-10 16:00:00,42.75,364,
2016-01-10 20:00:00,42.74,360,
2016-01-10 22:00:00,42.73,355,
2016-01-11 00:00:00,42.71,346,
2016-01-11 02:00:00,42.73,355,
2016-01-11 04:00:00,42.73,355,
2016-01-11 08:00:00,42.67,328,0.874
2016-01-11 12:00:00,42.69,337,
2016-01-11 16:00:00,42.65,319,
2016-01-11 20:00:00,42.67,328,
2016-01-12 00:00:00,42.66,324,
2016-01-12 04:00:00,42.66,324,
2016-01-12 06:00:00,42.65,319,
2016-01-12 08:00:00,42.67,328,0.861
2016-01-12 12:00:00,42.69,337,
2016-01-12 16:00:00,42.71,346,
