日期,起点距离(m),水位(m),水深(m),测点水深(m),测点水流速(m/s),测点含沙量(kg/m3)
2018-04-04,1962.0,43.17,0.0,,0.0,
2018-04-04,1972.0,,3.3,0.66,1.08,
2018-04-04,1981.0,,2.7,,,
2018-04-04,1990.0,,2.2,0.44,1.81,
2018-04-04,1999.0,,3.2,,,
2018-04-04,2008.0,,3.3,0.66,2.14,
2018-04-04,2017.0,,3.3,,,
2018-04-04,2026.0,,3.45,0.69,2.17,
2018-04-04,2035.0,,3.6,,,
2018-04-04,2044.0,,3.6,0.72,2.16,
2018-04-04,2053.0,,3.65,,,
2018-04-04,2062.0,,3.65,0.73,2.16,
2018-04-04,2071.0,,3.6,,,
2018-04-04,2080.0,,3.5,0.7,2.02,
2018-04-04,2090.0,,3.5,,,
2018-04-04,2099.0,,3.3,0.66,1.92,
2018-04-04,2110.0,,2.95,,,
2018-04-04,2120.0,,2.8,0.56,1.55,
2018-04-04,2131.0,,2.6,,,
2018-04-04,2142.0,,1.8,0.36,0.54,
2018-04-04,2153.0,,1.0,,,
2018-04-04,2164.0,,0.8,0.16,0.32,
2018-04-04,2179.0,,0.0,,0.0,
2018-04-04,,,,2.64,0.89,
2018-04-04,,,,1.76,1.41,
2018-04-04,,,,2.64,1.84,
2018-04-04,,,,2.76,1.86,
2018-04-04,,,,2.88,1.96,
2018-04-04,,,,2.92,1.96,
2018-04-04,,,,2.8,1.65,
2018-04-04,,,,2.64,1.73,
2018-04-04,,,,2.24,1.43,
2018-04-04,,,,1.44,0.39,
2018-04-04,,,,0.64,0.19,
2019-04-17,1692.0,43.09,0.0,,0.0,
2019-04-17,1703.0,,2.05,0.41,0.72,
2019-04-17,1720.0,,2.35,,,
2019-04-17,1737.0,,2.65,0.53,1.53,
2019-04-17,1753.0,,2.35,,,
2019-04-17,1769.0,,2.25,0.45,1.86,
2019-04-17,1785.0,,2.1,,,
2019-04-17,1800.0,,2.0,0.4,1.99,
2019-04-17,1818.0,,1.95,,,
2019-04-17,1835.0,,2.0,0.4,2.07,
2019-04-17,1852.0,,2.0,,,
2019-04-17,1869.0,,2.1,0.42,2.09,
2019-04-17,1885.0,,2.05,,,
2019-04-17,1901.0,,2.1,0.42,1.96,
2019-04-17,1917.0,,2.15,,,
2019-04-17,1932.0,,2.15,0.43,1.83,
2019-04-17,1948.0,,2.15,,,
2019-04-17,1963.0,,2.2,0.44,1.68,
2019-04-17,1980.0,,2.2,,,
2019-04-17,1997.0,,2.1,0.42,1.45,
2019-04-17,2013.0,,1.95,,,
2019-04-17,2030.0,,1.75,0.35,1.18,
2019-04-17,2048.0,,1.8,,,
2019-04-17,2056.0,,1.6,0.32,0.73,
2019-04-17,2072.0,,0.0,,0.0,
2019-04-17,,,,1.64,0.5,
2019-04-17,,,,2.12,1.22,
2019-04-17,,,,1.8,1.37,
2019-04-17,,,,1.6,1.57,
2019-04-17,,,,1.6,1.6,
2019-04-17,,,,1.68,1.56,
2019-04-17,,,,1.68,1.47,
2019-04-17,,,,1.72,1.41,
2019-04-17,,,,1.76,1.27,
2019-04-17,,,,1.68,1.15,
2019-04-17,,,,1.4,0.94,
2019-04-17,,,,1.28,0.62,
2020-04-17,1693.0,,0.0,,0.0,
2020-04-17,1710.0,,2.05,0.41,1.32,
2020-04-17,1726.0,,2.15,,,
2020-04-17,1741.0,,2.5,0.5,1.93,
2020-04-17,1756.0,,2.5,,,
2020-04-17,1771.0,,2.2,0.44,2.06,
2020-04-17,1786.0,,2.05,,,
2020-04-17,1801.0,,2.0,0.4,2.25,
2020-04-17,1816.0,,1.95,,,
2020-04-17,1831.0,,1.9,0.38,2.38,
2020-04-17,1846.0,,1.9,,,
2020-04-17,1861.0,,1.9,0.38,2.38,
2020-04-17,1876.0,,1.9,,,
2020-04-17,1891.0,,1.95,0.39,2.43,
2020-04-17,1906.0,,2.05,,,
2020-04-17,1921.0,,2.1,0.42,2.41,
2020-04-17,1936.0,,2.2,,,
2020-04-17,1952.0,,2.2,0.44,2.38,
2020-04-17,1968.0,,2.3,,,
2020-04-17,1984.0,,2.35,0.47,2.26,
2020-04-17,2000.0,,2.25,,,
2020-04-17,2016.0,,2.2,0.44,1.91,
2020-04-17,2032.0,,2.1,,,
2020-04-17,2049.0,,1.8,0.36,1.24,
2020-04-17,2066.0,43.16,0.0,,0.0,
2020-04-17,,,,1.44,0.98,
2020-04-17,,,,1.76,1.32,
2020-04-17,,,,1.88,1.66,
2020-04-17,,,,1.76,1.74,
2020-04-17,,,,1.68,1.56,
2020-04-17,,,,1.56,1.64,
2020-04-17,,,,1.52,1.46,
2020-04-17,,,,1.52,1.38,
2020-04-17,,,,1.6,1.35,
2020-04-17,,,,1.76,1.35,
2020-04-17,,,,2.0,1.28,
