指标,策略,模型,权重
dA,Softmax-LOO,Ridge,1.2271644912746832e-12
dA,Softmax-LOO,KRR,0.9358361235912463
dA,Softmax-LOO,ElasticNet,2.597907248414989e-12
dA,Softmax-LOO,Huber,0.0641638764049285
dB,Softmax-LOO,Ridge,0.02130079065676135
dB,Softmax-LOO,KRR,0.10300156600665793
dB,Softmax-LOO,ElasticNet,0.11613394138025204
dB,Softmax-LOO,Huber,0.7595637019563288
dxi,Stacking,Ridge,0.0
dxi,Stacking,GPR,0.0
dxi,Stacking,KRR,0.0
dxi,Stacking,ElasticNet,0.0
dxi,Stacking,Lasso,0.0
dxi,Stacking,Huber,1.0
dH,Stacking,KRR,0.0
dz_min,Softmax-LOO,GPR,8.907307843881202e-22
dz_min,Softmax-LOO,KRR,1.0
