target_model,R2_Boot_mean,R2_Boot_std,R2_Boot_CI_low,R2_Boot_CI_high,B
dA,-0.195685,0.288847,-0.925647,0.032076,1000
dA_Ridge,-0.60302,0.782413,-2.088062,-0.076805,1000
dA_KRR,-0.195711,0.289178,-0.926729,0.036536,1000
dA_ElasticNet,-0.553994,0.583533,-1.67782,-0.085423,1000
dA_Huber,-0.294144,0.515377,-1.695766,0.043705,1000
dB,-0.036515,0.641083,-1.607369,0.750021,1000
dB_Ridge,-0.597915,0.999706,-2.99371,0.453421,1000
dB_KRR,-0.240973,0.424378,-1.234868,0.019558,1000
dB_ElasticNet,-0.375115,0.902193,-2.384321,0.686405,1000
dB_Huber,-0.097292,0.660849,-1.748631,0.643708,1000
dxi,0.871507,0.194395,0.335693,0.997355,1000
dxi_Ridge,0.791231,0.242067,0.174216,0.960729,1000
dxi_GPR,-0.020514,0.391488,-0.990835,0.524535,1000
dxi_KRR,0.386991,0.248907,-0.174318,0.696781,1000
dxi_ElasticNet,0.786654,0.248154,0.129927,0.960287,1000
dxi_Lasso,0.760285,0.247693,0.100279,0.941497,1000
dxi_Huber,0.871507,0.194395,0.335693,0.997355,1000
dH,-0.617979,3.737947,-7.07935,-5.8e-05,1000
dH_KRR,-0.736633,3.917737,-8.298261,-0.046246,1000
dz_min,0.079759,0.334279,-0.838639,0.3349,1000
dz_min_GPR,-0.43345,0.343492,-1.287237,-0.136163,1000
dz_min_KRR,0.079759,0.334279,-0.838639,0.3349,1000
